footprintwkt
POINT(-99.5 9.5)
POINT(-99.5 16.5)
POINT(-99.5 15.5)
POINT(-99.5 14.5)
POINT(-99.5 13.5)
POINT(-99.5 12.5)
POINT(-99.5 11.5)
POINT(-99.5 10.5)
POINT(-99.13 11.62)
POINT(-99.13 11.62)
POINT(-99.09 13.18)
POINT(-98.98 10.62)
POINT(-98.78 10.73)
POINT(-98.58 9.14)
POINT(-98.58 9.13)
POINT(-98.5 9.5)
POINT(-98.5 8.5)
POINT(-98.5 14.5)
POINT(-98.5 13.5)
POINT(-98.5 12.5)
POINT(-98.5 11.5)
POINT(-98.5 10.5)
POINT(-98.35 10.22)
POINT(-98.18 10.97)
POINT(-98.06 -5.94)
POINT(-97.99 9.01)
POINT(-97.96 7.43)
POINT(-97.95 7.43)
POINT(-97.92 -5.59)
POINT(-97.89 11.27)
POINT(-97.5 9.5)
POINT(-97.5 8.5)
POINT(-97.5 7.5)
POINT(-97.5 13.5)
POINT(-97.5 12.5)
POINT(-97.5 11.5)
POINT(-97.5 10.5)
POINT(-97.28 8.27)
POINT(-97.27 8.26)
POINT(-97.06 -3.47)
POINT(-96.65 -2.81)
POINT(-96.56 8.87)
POINT(-96.56 8.87)
POINT(-96.5 9.5)
POINT(-96.5 8.5)
POINT(-96.5 7.5)
POINT(-96.5 12.5)
POINT(-96.5 11.5)
POINT(-96.5 10.5)
POINT(-96.37 -2.38)
POINT(-96.35 8.7)
POINT(-96.32 -2.87)
POINT(-96.31 -2.35)
POINT(-96.23 9.34)
POINT(-96.16 8.91)
POINT(-96.16 8.91)
POINT(-96.11 9.16)
POINT(-96 9.95)
POINT(-96 9.89)
POINT(-96 9.88)
POINT(-95.99 9.9)
POINT(-95.98 9.9)
POINT(-95.65 -3.72)
POINT(-95.58 9.82)
POINT(-95.57 9.81)
POINT(-95.5 9.5)
POINT(-95.5 8.5)
POINT(-95.5 12.5)
POINT(-95.5 11.5)
POINT(-95.5 10.5)
POINT(-95.18 10.97)
POINT(-95.08 -9.7)
POINT(-94.86 -0.66)
POINT(-94.83 -0.74)
POINT(-94.78 -2.89)
POINT(-94.65 11.38)
POINT(-94.52 -0.3)
POINT(-94.5 9.5)
POINT(-94.5 8.5)
POINT(-94.5 11.5)
POINT(-94.5 10.5)
POINT(-94.4 6.46)
POINT(-94.29 8.75)
POINT(-94.28 8.74)
POINT(-94.05 9.43)
POINT(-94.05 9.09)
POINT(-94.04 -2.95)
POINT(-93.93 8.36)
POINT(-93.93 8.36)
POINT(-93.93 8.36)
POINT(-93.92 9.07)
POINT(-93.92 -2.96)
POINT(-93.83 8.28)
POINT(-93.83 8.28)
POINT(-93.78 9.5)
POINT(-93.7 11.77)
POINT(-93.67 -9.12)
POINT(-93.5 9.5)
POINT(-93.5 8.5)
POINT(-93.5 7.5)
POINT(-93.5 11.5)
POINT(-93.5 10.5)
POINT(-93.09 9.13)
POINT(-93.03 9.17)
POINT(-93.02 9.16)
POINT(-92.94 9.4)
POINT(-92.93 9.31)
POINT(-92.9 9.36)
POINT(-92.88 9.29)
POINT(-92.87 9.31)
POINT(-92.86 8.65)
POINT(-92.84 9.32)
POINT(-92.78 7.71)
POINT(-92.77 7.7)
POINT(-92.77 7.69)
POINT(-92.72 7.62)
POINT(-92.68 10.36)
POINT(-92.67 7.57)
POINT(-92.5 9.5)
POINT(-92.5 8.5)
POINT(-92.5 7.5)
POINT(-92.5 6.5)
POINT(-92.5 11.5)
POINT(-92.5 10.5)
POINT(-92.4 11.03)
POINT(-92.35 -2.95)
POINT(-92.32 -1.3)
POINT(-92.31 -1.3)
POINT(-92.31 -1.3)
POINT(-92.31 -1.3)
POINT(-92.31 -1.3)
POINT(-92.3 -1.53)
POINT(-92.26 8.48)
POINT(-92.22 10.71)
POINT(-92.22 10.7)
POINT(-92.17 -1.28)
POINT(-92.16 -1.28)
POINT(-92.14 8.44)
POINT(-92.14 8.4)
POINT(-92.07 6.15)
POINT(-92.06 10.89)
POINT(-92.05 8.22)
POINT(-92.05 10.89)
POINT(-92.02 10.09)
POINT(-91.92 8.66)
POINT(-91.9 11.82)
POINT(-91.88 -1.8)
POINT(-91.84 11.01)
POINT(-91.8 8.15)
POINT(-91.77 7.96)
POINT(-91.7467 0.0417)
POINT(-91.7067 -0.1267)
POINT(-91.7033 -0.1317)
POINT(-91.7 -0.135)
POINT(-91.6883 0.04)
POINT(-91.68 0.13)
POINT(-91.68 0.13)
POINT(-91.68 0.13)
POINT(-91.68 0.13)
POINT(-91.68 0.13)
POINT(-91.67 7.98)
POINT(-91.6683 -1.2567)
POINT(-91.66 -1.22)
POINT(-91.66 -1.21)
POINT(-91.6467 0.1283)
POINT(-91.56 8.48)
POINT(-91.53 -1.83)
POINT(-91.5 9.5)
