lat,lon
-60.6575,-64.199
-60.6575,-64.199
47.7062,-64.0117
48.32334,-63.97018
47.8032,-63.917
48.64952,-63.90491
47.8338,-63.8891
47.8731,-63.8365
48.283,-63.8288
-58.487333,-63.7675
47.46944,-63.68133
47.46117,-63.67001
47.7334,-62.80898
-64.807006,-62.788776
48.16496,-62.08389
43.254,-62.08
-63.1075,-61.911667
44.8293343,-61.1137924
-63.202842,-60.677848
-59.733021,-60.454715
41.8,-60.45
-63.0436,-60.2811
-69.006,-6.987
45.35123,-6.86914
58.3437375,-6.6404516
56.1071562,-6.1918585
56.9187014,-6.1575755
45.83694,-59.28325
45.84564,-59.25282
44.25,-58.1
-62.451406,-57.5354
45.51802,-57.48109
-48.1355,57.235167
44.567,-56.96113
44.5659,-56.95738
44.57765,-56.94767
44.58167,-56.93758
44.58541,-56.93122
44.58141,-56.92028
44.58131,-56.91926
44.58485,-56.8996
44.58219,-56.89712
-63.726183,-56.7137
-63.7587,-56.571783
47.1,-56.379167
-63.455236,-56.342923
43.6,-54.717
-52.235333,52.971333
49.7,-52.95
56.5,-51.0
35.95867,-5.542333
-61.16944,-49.786531
-62.367167,-49.37
38.52063,-47.45833
-60.43245,-46.005633
-61.040503,-45.282898
-60.945967,-45.097683
-53.475,44.990333
-60.108,-44.132167
-51.18,-41.7
-15.89,-4.63
-57.7568,-39.6817
-57.275333,-39.5605
-53.809679,-38.469929
-54.038444,-38.16836
-53.90289,-37.672072
-53.90365,-37.668033
-53.910703,-37.663968
-53.952853,-37.642078
-53.952853,-37.642078
-53.952853,-37.642078
-53.930217,-37.577717
-53.928305,-37.445283
-53.927916,-37.444683
-54.2,-36.0
-54.89,-35.95
-54.37087,-35.946827
-54.81227,-35.828648
-54.690872,-35.637978
-54.681665,-35.62294
-54.411,-35.381
65.13125,-30.50598
58.4576876,-3.0523441
-67.03,-29.98
65.47778,-29.41877
65.44014,-29.41378
40.75,-29.0
38.47253,-28.80102
38.5,-28.8
38.46125,-28.75335
38.5053,-28.6981
38.5053,-28.6981
38.5053,-28.6981
38.5053,-28.6981
38.5053,-28.6981
38.49,-28.66
38.49,-28.66
38.6334,-28.6336
38.354717,-28.6209
38.43482,-28.52085
38.417183,-28.506603
38.42199,-28.498
38.377,-28.434
38.377,-28.434
38.377,-28.434
38.35,-28.4
38.349555,-28.359009
38.349662,-28.351272
38.349662,-28.351272
38.381337,-28.31012
38.360862,-28.307327
38.373316,-28.299683
38.346036,-28.294189
38.336917,-28.293091
38.293961,-28.291992
38.293961,-28.291992
38.293961,-28.291992
38.293961,-28.291992
38.314508,-28.287598
38.334287,-28.279758
38.361042,-28.271118
38.362657,-28.268646
38.382207,-28.266026
38.330023,-28.260132
38.364918,-28.258141
38.330884,-28.254639
38.361257,-28.250244
38.328299,-28.249146
38.300858,-28.248047
38.343272,-28.188995
38.356806,-28.165558
38.340364,-28.106323
65.64342,-27.49067
65.64249,-27.47527
38.52719,-27.18675
64.31802,-27.16888
-13.42,-26.8
-57.778055,-26.2423
-57.768888,-26.23245
66.24053,-25.93525
37.693021,-25.510643
65.144239,-23.757935
68.08295,-22.36255
69.435167,-21.862
80.582539,19.62449
80.587032,19.586033
80.55,19.45
79.479411,18.911247
65.904092,-18.230049
79.800834,18.099976
79.865966,18.054016
50.5,-178.93
-44.1246,172.9942
66.72536,-17.8721
66.64094,-17.82985
66.6647,-17.82963
66.5229,-17.81738
66.53345,-17.81107
66.134967,-17.808883
80.0,17.8
66.74491,-17.79675
66.66279,-17.79583
66.5302,-17.7948
66.69413,-17.7858
66.5476,-17.77813
66.5812,-17.77675
66.58985,-17.77453
66.54533,-17.7707
66.317828,-17.737083
66.56802,-17.73708
66.5317,-17.72667
66.53184,-17.72575
66.286667,-17.724167
66.5157,-17.72245
66.71552,-17.72095
66.60525,-17.71758
66.56678,-17.71468
